"topic","price_taste","Probability","taste","price_level"
18,"P2_American..New., P2_Asian.Fusion, P2_Chinese, P2_Pan.Asian, P2_Tapas.Small.Plates, P2_Thai",0.0551738844231821,"American..New., Asian.Fusion, Chinese, Pan.Asian, Tapas.Small.Plates, Thai","2"
18,"P3_American..New.",0.0493329253933376,"American..New.","3"
18,"P2_Mexican",0.0491474981225489,"Mexican","2"
19,"P2_Chinese, P2_Comfort.Food, P2_Ethnic.Food, P2_Noodles, P2_Specialty.Food",0.0505852948354358,"Chinese, Comfort.Food, Ethnic.Food, Noodles, Specialty.Food","2"
19,"P2_Seafood, P2_Vietnamese",0.0345959319694687,"Seafood, Vietnamese","2"
19,"P2_Barbeque, P2_Cantonese, P2_Chinese, P2_Dim.Sum, P2_Hong.Kong.Style.Cafe, P2_Noodles",0.0332494593070715,"Barbeque, Cantonese, Chinese, Dim.Sum, Hong.Kong.Style.Cafe, Noodles","2"
19,"P2_Thai, P2_Vietnamese",0.0272744868676838,"Thai, Vietnamese","2"
19,"P2_Asian.Fusion, P2_Cambodian, P2_Chinese, P2_Malaysian, P2_Thai",0.0253389324154878,"Asian.Fusion, Cambodian, Chinese, Malaysian, Thai","2"
19,"P2_Asian.Fusion, P2_Malaysian, P2_Singaporean, P2_Sushi.Bars, P2_Thai",0.0244973870014895,"Asian.Fusion, Malaysian, Singaporean, Sushi.Bars, Thai","2"
19,"P2_Asian.Fusion, P2_Japanese, P2_Korean",0.0244132324600897,"Asian.Fusion, Japanese, Korean","2"
19,"P2_Japanese, P2_Sushi.Bars",0.0225618325492935,"Japanese, Sushi.Bars","2"
20,"P3_American..New., P3_Lebanese, P3_Middle.Eastern, P3_Specialty.Food",0.0395473469418263,"American..New., Lebanese, Middle.Eastern, Specialty.Food","3"
20,"P2_American..New., P2_American..Traditional.",0.0229540545186824,"American..New., American..Traditional.","2"
20,"P3_Japanese, P3_Sushi.Bars",0.022655076276824,"Japanese, Sushi.Bars","3"
20,"P3_Chinese, P3_Italian, P3_Pizza, P3_Szechuan, P3_Tapas.Small.Plates",0.0212349296279963,"Chinese, Italian, Pizza, Szechuan, Tapas.Small.Plates","3"
20,"P2_American..New., P2_Burgers",0.0202632503419564,"American..New., Burgers","2"
20,"P2_Spanish, P2_Tapas.Small.Plates",0.0198147829791687,"Spanish, Tapas.Small.Plates","2"
20,"P2_Italian, P2_Pizza, P2_Specialty.Food",0.016675511439655,"Italian, Pizza, Specialty.Food","2"
20,"P2_Salad, P2_Sandwiches",0.0145079191861812,"Salad, Sandwiches","2"
